"_SYSTEM_ID","Question External Id","Question Name"
"64e82824a87fdf4cccb968bd","N101_1636625759433","Select the medium of the course consumption"
"64e82824a87fdf4cccb968c3","N102_1636625759433","Select the courses that you have enrolled in NISHTHA 2.0"
"64e82824a87fdf4cccb968ca","N103_1636625759433","Select the courses which you have got the certificate."
"64e82824a87fdf4cccb968d1","N104_1636625759433","Select the courses that you have enrolled in NISHTHA 2.0"
"64e82824a87fdf4cccb968d8","N105_1636625759433","Select the courses which you have got the certificate"
"64e82824a87fdf4cccb968df","N106_1636625759433","Select the courses that you have enrolled in NISHTHA 2.0"
"64e82824a87fdf4cccb968e6","N107_1636625759433","Select the courses which you have got the certificate."
"64e82824a87fdf4cccb968ed","N108_1636625759433","Give a rating on the reading materials available in the course"
"64e82824a87fdf4cccb968f3","N109_1636625759433","Give a rating on the instructional videos available in the courses"
"64e82824a87fdf4cccb968f9","N110_1636625759433","Give a rating on the assessments available in the courses"
"64e82824a87fdf4cccb968ff","N111_1636625759433","Give a rating on YouTube live sessions conducted by the State experts"
"64e82824a87fdf4cccb96905","N112_1636625759433","Select top 3 courses which you most like"
"64e82824a87fdf4cccb9690c","N113_1636625759433","Select top 3 courses which you most like"
"64e82824a87fdf4cccb96913","N114_1636625759433","Select top 3 courses which you most like"
,"N114_1636625759433","Write your feedback on the entire courses"
